"scenario_index","return_code","elapsed_seconds","log_file","command"
"41","0","138.7083449999991","outputs/revised_model/main_run/logs/scenario_041.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--scenario-index"",""41"",""--reuse-gate-files""]"
"42","0","144.4768998999989","outputs/revised_model/main_run/logs/scenario_042.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--scenario-index"",""42"",""--reuse-gate-files""]"
"43","0","153.60878480000065","outputs/revised_model/main_run/logs/scenario_043.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--scenario-index"",""43"",""--reuse-gate-files""]"
"44","0","158.89288229999875","outputs/revised_model/main_run/logs/scenario_044.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--scenario-index"",""44"",""--reuse-gate-files""]"
"45","0","55.32618970000112","outputs/revised_model/main_run/logs/scenario_045.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--scenario-index"",""45"",""--reuse-gate-files""]"
"46","0","74.72403010000016","outputs/revised_model/main_run/logs/scenario_046.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--scenario-index"",""46"",""--reuse-gate-files""]"
"47","0","89.65764060000038","outputs/revised_model/main_run/logs/scenario_047.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--scenario-index"",""47"",""--reuse-gate-files""]"
"48","0","101.0294754000006","outputs/revised_model/main_run/logs/scenario_048.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--scenario-index"",""48"",""--reuse-gate-files""]"
"49","0","106.38193109999884","outputs/revised_model/main_run/logs/scenario_049.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--scenario-index"",""49"",""--reuse-gate-files""]"
"50","0","113.51586019999922","outputs/revised_model/main_run/logs/scenario_050.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--scenario-index"",""50"",""--reuse-gate-files""]"
"51","0","118.80206960000032","outputs/revised_model/main_run/logs/scenario_051.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--scenario-index"",""51"",""--reuse-gate-files""]"
"52","0","125.23951090000082","outputs/revised_model/main_run/logs/scenario_052.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--scenario-index"",""52"",""--reuse-gate-files""]"
"53","0","126.30760989999908","outputs/revised_model/main_run/logs/scenario_053.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--scenario-index"",""53"",""--reuse-gate-files""]"
"54","0","131.66538880000007","outputs/revised_model/main_run/logs/scenario_054.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--scenario-index"",""54"",""--reuse-gate-files""]"
"55","0","132.87425670000084","outputs/revised_model/main_run/logs/scenario_055.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--scenario-index"",""55"",""--reuse-gate-files""]"
"56","0","58.9163507000012","outputs/revised_model/main_run/logs/scenario_056.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--scenario-index"",""56"",""--reuse-gate-files""]"
"57","0","78.94118890000027","outputs/revised_model/main_run/logs/scenario_057.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--scenario-index"",""57"",""--reuse-gate-files""]"
"58","0","91.3302048000005","outputs/revised_model/main_run/logs/scenario_058.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--scenario-index"",""58"",""--reuse-gate-files""]"
"59","0","103.3148528999991","outputs/revised_model/main_run/logs/scenario_059.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--scenario-index"",""59"",""--reuse-gate-files""]"
"60","0","107.16490639999938","outputs/revised_model/main_run/logs/scenario_060.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--scenario-index"",""60"",""--reuse-gate-files""]"
"61","0","114.21287839999968","outputs/revised_model/main_run/logs/scenario_061.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--scenario-index"",""61"",""--reuse-gate-files""]"
"62","0","121.11032779999914","outputs/revised_model/main_run/logs/scenario_062.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--scenario-index"",""62"",""--reuse-gate-files""]"
