gene_id,gene_name,essential_status,phenotype_summary,evidence_count,source_file
S000000161,YBL065W,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000162,SEF1,Unknown,null | viable,2,./data\raw\sgd\phenotype_data.tab
S000000163,UBP13,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000164,PRS4,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000165,AST1,Unknown,null | viable,2,./data\raw\sgd\phenotype_data.tab
S000000166,YBL070C,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000167,YBL071C,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000168,S000000168,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000169,YBL073W,Essential,null | inviable,1,./data\raw\sgd\phenotype_data.tab
S000000170,AAR2,Essential,conditional | viability: decreased | elevated temperature (34°C) ; null | inviable,2,./data\raw\sgd\phenotype_data.tab
S000000171,SSA3,Unknown,null | viable,2,./data\raw\sgd\phenotype_data.tab
S000000172,ILS1,Essential,conditional | viability: decreased | elevated temperature (32°C) | viability reduced by ~1/6 ; null | inviable,2,./data\raw\sgd\phenotype_data.tab
S000000173,YBL077W,Essential,null | inviable,1,./data\raw\sgd\phenotype_data.tab
S000000174,ATG8,Ambiguous,null | viability: decreased | nitrogen starvation ; null | viability: decreased | nitrogen starvation | decreased survival (CFU) relative to wt in nitrogen starvation media at 15 days ; reduction of function | viability: decreased | nitrogen starvation,7,./data\raw\sgd\phenotype_data.tab
S000000175,NUP170,Unknown,null | viable,2,./data\raw\sgd\phenotype_data.tab
S000000176,PET112,Ambiguous,null | viable ; null | desiccation resistance: decreased | less than 10% viability after dehydration stress,3,./data\raw\sgd\phenotype_data.tab
S000000177,YBL081W,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000178,ALG3,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000179,YBL083C,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000180,CDC27,Essential,null | inviable,1,./data\raw\sgd\phenotype_data.tab
S000000181,BOI1,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000182,HOI1,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000183,S000000183,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000184,TEL1,Ambiguous,null | viable ; overexpression | resistance to chemicals: decreased | hydroxyurea (25-150mM) | dose-dependent decrease in viability ; overexpression | resistance to chemicals: decreased | methyl methanesulfonate (0.005-0.02%) | dose-dependent decrease in viability,4,./data\raw\sgd\phenotype_data.tab
S000000185,AVT5,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000186,MRP21,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000187,MAP2,Ambiguous,"null | viable ; null | vegetative growth: decreased rate | slower growth rate than wt, but faster than that of a map1 null mutant; map1 map2 double null mutant is inviable",2,./data\raw\sgd\phenotype_data.tab
S000000188,S000000188,Essential,"null | inviable ; null | vegetative growth: decreased | anaerobic conditions (YPD plus ergosterol and Tween-80 in the absence of O2) | heterozygous null mutants were sporulated, dissected, and incubated anaerobically to test growth of haploid null mutant strains that are inviable under standard aerobic conditions; viable but slow-growing under anaerobic conditions",3,./data\raw\sgd\phenotype_data.tab
S000000189,ROX3,Ambiguous,"null | viable ; null | resistance to chemicals: decreased | tannic acid (400µM) | YPD | decreased survival on sub-lethal levels of the polyphenol, tannic acid",2,./data\raw\sgd\phenotype_data.tab
S000000190,YBL094C,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000191,MRX3,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000192,YBL096C,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000193,BRN1,Essential,"conditional | heat sensitivity: increased | elevated temperature (37°C) | majority of cells undergo first cycle arrest, and ~25% a multicycle arrest; heterogenous arrest with loss of viability; required between early S and early M phase ; null | inviable",5,./data\raw\sgd\phenotype_data.tab
S000000194,BNA4,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000195,ATP1,Ambiguous,"null | viable ; null | resistance to chemicals: decreased | tannic acid (400µM) | YPD | decreased survival on sub-lethal levels of the polyphenol, tannic acid",2,./data\raw\sgd\phenotype_data.tab
S000000196,YBL100C,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000197,ECM21,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000198,SFT2,Ambiguous,null | viable ; overexpression | inviable,2,./data\raw\sgd\phenotype_data.tab
S000000199,RTG3,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000200,SEA4,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000201,PKC1,Essential,"null | inviable ; null | inviable | rapid loss of viability and rapid cell lysis of budded cells, including a high frequency of nonrefractile ghosts; inviability suppressed by the addition of 1M sorbitol, monosaccharides (1M glucose or galactose), disaccharides (0.5M lactose or maltose), 10% PEG, or salts (0.5M NaCl or KCl) ; conditional | inviable | permissive temperature (26°C) | unable to grow at the permissive temperature unless media is supplemented with 25 mM CaCl2 (efficacy of suppression increases with increasing CaCl2 concentrations up to 100 mM)",6,./data\raw\sgd\phenotype_data.tab
S000000202,SRO77,Unknown,null | viable,3,./data\raw\sgd\phenotype_data.tab
S000000203,MIX23,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000204,YBL108W,Unknown,,0,./data\raw\sgd\phenotype_data.tab
S000000205,NTH2,Unknown,null | viable,2,./data\raw\sgd\phenotype_data.tab
S000000206,RER2,Ambiguous,null | viable ; null | inviable,2,./data\raw\sgd\phenotype_data.tab
S000000207,COQ1,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000208,GPI18,Essential,null | inviable,2,./data\raw\sgd\phenotype_data.tab
S000000209,RCR1,Unknown,null | viable,2,./data\raw\sgd\phenotype_data.tab
S000000210,UGA2,Unknown,,0,./data\raw\sgd\phenotype_data.tab
S000000211,DSF2,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000212,FLR1,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000213,HHF1,Ambiguous,null | viable ; overexpression | inviable,2,./data\raw\sgd\phenotype_data.tab
