scope,model_key,alpha,p_event,history_class,gate_failing_trajectories
scenario,partial_hic_fallback,0.5,0.12,earlier_deletion_with_nondeletion,274
scenario,partial_hic_fallback,0.5,0.12,inversion_only_history,1336
scenario,partial_hic_fallback,0.5,0.12,mixed_inversion_duplication,237
scenario,partial_hic_fallback,0.5,0.15,deletion_only,3440
scenario,partial_hic_fallback,0.5,0.15,duplication_only_history,473
scenario,partial_hic_fallback,0.5,0.15,earlier_deletion_only,257
scenario,partial_hic_fallback,0.5,0.15,earlier_deletion_with_nondeletion,386
scenario,partial_hic_fallback,0.5,0.15,inversion_only_history,1534
scenario,partial_hic_fallback,0.5,0.15,mixed_inversion_duplication,383
scenario,partial_hic_fallback,0.5,0.18,deletion_only,3399
scenario,partial_hic_fallback,0.5,0.18,duplication_only_history,485
scenario,partial_hic_fallback,0.5,0.18,earlier_deletion_only,304
scenario,partial_hic_fallback,0.5,0.18,earlier_deletion_with_nondeletion,626
scenario,partial_hic_fallback,0.5,0.18,inversion_only_history,1902
scenario,partial_hic_fallback,0.5,0.18,mixed_inversion_duplication,526
scenario,partial_hic_fallback,0.5,0.2,deletion_only,3478
scenario,partial_hic_fallback,0.5,0.2,duplication_only_history,510
scenario,partial_hic_fallback,0.5,0.2,earlier_deletion_only,334
scenario,partial_hic_fallback,0.5,0.2,earlier_deletion_with_nondeletion,663
scenario,partial_hic_fallback,0.5,0.2,inversion_only_history,1968
scenario,partial_hic_fallback,0.5,0.2,mixed_inversion_duplication,621
scenario,partial_hic_fallback,0.5,0.25,deletion_only,3525
scenario,partial_hic_fallback,0.5,0.25,duplication_only_history,572
scenario,partial_hic_fallback,0.5,0.25,earlier_deletion_only,324
scenario,partial_hic_fallback,0.5,0.25,earlier_deletion_with_nondeletion,909
scenario,partial_hic_fallback,0.5,0.25,inversion_only_history,2141
scenario,partial_hic_fallback,0.5,0.25,mixed_inversion_duplication,785
scenario,partial_hic_fallback,0.5,0.3,deletion_only,3544
scenario,partial_hic_fallback,0.5,0.3,duplication_only_history,545
scenario,partial_hic_fallback,0.5,0.3,earlier_deletion_only,332
scenario,partial_hic_fallback,0.5,0.3,earlier_deletion_with_nondeletion,1155
scenario,partial_hic_fallback,0.5,0.3,inversion_only_history,2362
scenario,partial_hic_fallback,0.5,0.3,mixed_inversion_duplication,898
scenario,partial_hic_fallback,1.0,0.03,deletion_only,1351
scenario,partial_hic_fallback,1.0,0.03,duplication_only_history,62
scenario,partial_hic_fallback,1.0,0.03,earlier_deletion_only,54
scenario,partial_hic_fallback,1.0,0.03,earlier_deletion_with_nondeletion,9
scenario,partial_hic_fallback,1.0,0.03,inversion_only_history,170
scenario,partial_hic_fallback,1.0,0.03,mixed_inversion_duplication,5
scenario,partial_hic_fallback,1.0,0.05,deletion_only,1992
scenario,partial_hic_fallback,1.0,0.05,duplication_only_history,125
scenario,partial_hic_fallback,1.0,0.05,earlier_deletion_only,102
