sgd_gene_id,gene_name,precursor_event_type,n_precursor_events,n_trajectories,pair_activation_events,hazard_increase_events,hazard_increase_event_fraction,trajectories_with_pair_activation,trajectories_with_hazard_increase,hazard_increase_trajectory_fraction
S000000606,YCR013C,inversion,7954,5399,0,85,0.010686447070656274,0,85,0.015743656232635673
S000000648,YCR052W,inversion,6941,4698,0,84,0.01210200259328627,0,84,0.017879948914431672
S000000668,YCR072C,inversion,5220,3524,0,79,0.015134099616858238,0,79,0.022417707150964812
S000000546,YCL041C,inversion,4323,2930,0,74,0.017117742308582002,0,74,0.025255972696245733
S000000548,YCL043C,inversion,4323,2930,0,74,0.017117742308582002,0,74,0.025255972696245733
S000000536,YCL031C,inversion,5657,3838,0,70,0.01237404984974368,0,70,0.018238665971860343
S000000522,YCL017C,inversion,6820,4605,0,69,0.010117302052785923,0,69,0.01498371335504886
S000000605,YCR012W,duplication,2891,2464,64,64,0.022137668626772744,64,64,0.025974025974025976
S000000606,YCR013C,duplication,2891,2464,64,64,0.022137668626772744,64,64,0.025974025974025976
S000000522,YCL017C,duplication,2483,2118,61,60,0.024164317358034634,61,60,0.028328611898016998
S000000510,YCL004W,duplication,2744,2346,60,59,0.021501457725947522,60,59,0.02514919011082694
