scope,model_key,alpha,p_event,precursor_event_type,n_precursor_events,n_trajectories,same_chromosome_fraction,final_pair_activation_fraction,proposal_probability_increase_fraction,final_pair_lethal_hazard_increase_fraction,hazard_increase_ci_low_event_level,hazard_increase_ci_high_event_level,median_proposal_log2_ratio_when_nonzero,median_distance_change_when_observable,n_total_hazard_sampled,total_lethal_hazard_increase_fraction_sample,median_total_hazard_log2_ratio_nonzero_sample
scenario,linear_distance,0.5,0.3,duplication,2574,2084,0.6017871017871018,0.12742812742812742,0.12742812742812742,0.11577311577311578,0.10398131829469158,0.12871005097792007,-0.1146358877830085,0.0,50,0.02,-0.06600224994881715
scenario,linear_distance,0.5,0.3,inversion,7108,4214,0.5991840180078785,0.0,0.07203151378728194,0.073297692740574,0.06746658653955113,0.07958976516294004,0.0,0.0,50,0.52,9.61027951144475e-16
scenario,linear_distance,1.0,0.03,duplication,54,51,0.4444444444444444,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.02918152776550481,0.1755411583859995,-0.0322974683822626,0.0,50,0.06,-0.027364562395653352
scenario,linear_distance,1.0,0.03,inversion,200,182,0.445,0.0,0.025,0.025,0.010724719651761264,0.05717834040664198,0.0,0.0,50,0.32,0.0
scenario,linear_distance,1.0,0.05,duplication,173,168,0.5838150289017341,0.05202312138728324,0.05202312138728324,0.05202312138728324,0.02760783038362031,0.09590087038343206,-0.0290403705098721,0.0,50,0.06,-0.01162248232013565
scenario,linear_distance,1.0,0.05,inversion,480,437,0.49375,0.0,0.022916666666666665,0.025,0.014357806275901537,0.0431847178570125,0.0,0.0,50,0.22,0.0
scenario,linear_distance,1.0,0.07,duplication,307,290,0.4723127035830619,0.05537459283387622,0.05537459283387622,0.05537459283387622,0.03485724540343757,0.08688153089835104,-0.0393448368276852,0.0,50,0.04,-0.01284819813185345
scenario,linear_distance,1.0,0.07,inversion,870,731,0.4839080459770115,0.0,0.03908045977011494,0.03908045977011494,0.02809932226513165,0.05411405648397101,0.0,0.0,50,0.28,0.0
scenario,linear_distance,1.0,0.09,duplication,504,474,0.49404761904761907,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.022708441184061106,0.055744111534288585,-0.024944806929814,0.0,50,0.02,-0.010163756716565851
scenario,linear_distance,1.0,0.09,inversion,1340,1087,0.503731343283582,0.0,0.029104477611940297,0.029104477611940297,0.021362791561812783,0.03953833504319252,0.0,0.0,50,0.22,0.0
scenario,linear_distance,1.0,0.1,duplication,561,512,0.45989304812834225,0.0285204991087344,0.0285204991087344,0.0285204991087344,0.01763033519413272,0.04582368054955192,-0.0331874300322238,0.0,50,0.06,-0.01387771724222795
