scenario_index,model_key,alpha,p_event,seed,gate_passing_trajectories,common_rarefied_depth,provenance_unique_endpoints,unlabeled_topology_unique_endpoints,unique_inflation_ratio,provenance_effective_shannon,unlabeled_topology_effective_shannon,effective_shannon_inflation_ratio,copy_identity_normalized_unique_endpoints,copy_identity_unique_inflation_ratio,copy_identity_normalized_effective_shannon,copy_identity_effective_shannon_inflation_ratio,reference_alias_normalized_unique_endpoints,reference_alias_unique_inflation_ratio,reference_alias_normalized_effective_shannon,reference_alias_effective_shannon_inflation_ratio,provenance_inverse_simpson,unlabeled_topology_inverse_simpson,provenance_rarefied_effective_shannon_mean,unlabeled_topology_rarefied_effective_shannon_mean,paired_rarefied_effective_shannon_inflation_mean,paired_rarefied_effective_shannon_inflation_ci_low,paired_rarefied_effective_shannon_inflation_ci_high,copy_identity_normalized_rarefied_effective_shannon_mean,copy_identity_paired_rarefied_inflation_mean,copy_identity_paired_rarefied_inflation_ci_low,copy_identity_paired_rarefied_inflation_ci_high,reference_alias_normalized_rarefied_effective_shannon_mean,reference_alias_paired_rarefied_inflation_mean,reference_alias_paired_rarefied_inflation_ci_low,reference_alias_paired_rarefied_inflation_ci_high,unlabeled_topology_rarefied_ci_low,unlabeled_topology_rarefied_ci_high,topology_groups_merging_multiple_provenance_ids,max_provenance_ids_per_topology,fraction_trajectories_in_merged_topology_groups
31,linear_distance,1.5,0.2,770846889,4289,1144,4173,4173,1.0,3808.5332591545225,3808.5332591545225,1.0,4173,1.0,3808.5332591545225,1.0,4173,1.0,3808.5332591545225,1.0,1191.3425943915543,1191.3425943915543,1054.2068887863124,1054.2068887863124,1.0,0.9999999999999991,1.0000000000000009,1054.2068887863124,0.9999999999999997,0.9999999999999991,1.0,1054.2068887863124,0.9999999999999997,0.9999999999999991,1.0,1023.3540099565666,1083.818238529639,0,1,0.0
32,linear_distance,1.5,0.25,2950421996,3311,1144,3287,3287,1.0,3231.4981406687784,3231.4981406687784,1.0,3287,1.0,3231.4981406687784,1.0,3287,1.0,3231.4981406687784,1.0,2803.0480695474307,2803.0480695474307,1124.957872506049,1124.9578725060487,1.0000000000000002,1.0,1.0000000000000009,1124.9578725060487,1.0,1.0,1.000000000000001,1124.9578725060487,1.0,1.0,1.000000000000001,1107.6434459207603,1138.4682401127905,0,1,0.0
33,linear_distance,1.5,0.3,2308636446,2658,1144,2648,2648,1.0,2631.7535963947835,2631.7535963947835,1.0,2648,1.0,2631.7535963947835,1.0,2648,1.0,2631.7535963947835,1.0,2552.3713872832373,2552.3713872832373,1136.5499914942409,1136.5499914942404,1.0000000000000007,1.0,1.000000000000001,1136.5499914942407,1.0000000000000002,1.0,1.000000000000001,1136.5499914942407,1.0000000000000002,1.0,1.000000000000001,1127.4848367157053,1143.3419089949455,0,1,0.0
34,linear_distance,2.0,0.03,624955490,9086,1144,2990,2990,1.0,48.542843147358454,48.542843147358454,1.0,2990,1.0,48.542843147358454,1.0,2990,1.0,48.542843147358454,1.0,2.8243003821913004,2.8243003821913004,23.309347120491108,23.30934712049111,1.0,0.9999999999999994,1.0000000000000004,23.3093471204911,1.0,0.9999999999999994,1.0000000000000009,23.3093471204911,1.0,0.9999999999999994,1.0000000000000009,19.06146220968405,27.905065072844017,0,1,0.0
35,linear_distance,2.0,0.05,2715674654,8555,1144,4164,4163,1.0002402113860196,238.18187106650416,237.92627282181047,1.0010742749914177,4164,1.0,238.18187106650416,1.0,4163,1.0002402113860196,237.92627282181047,1.0010742749914177,5.681866438298998,5.678702831024969,83.66040916598102,83.57089621614517,1.0010693320774438,0.9999999999999991,1.0063096168463743,83.660409165981,1.0000000000000002,0.9999999999999991,1.000000000000001,83.57089621614517,1.0010693320774435,0.9999999999999991,1.0063096168463739,70.66325661312733,98.54701613838564,1,2,0.41952074810052603
36,linear_distance,2.0,0.07,308999449,7988,1144,4977,4977,1.0,743.9684356359561,743.9684356359561,1.0,4977,1.0,743.9684356359561,1.0,4977,1.0,743.9684356359561,1.0,11.951346621234865,11.951346621234865,212.4725861343941,212.4725861343941,1.0,0.999999999999999,1.0000000000000009,212.47258613439405,1.0,0.999999999999999,1.0000000000000009,212.47258613439405,1.0,0.999999999999999,1.0000000000000009,176.20149309400935,246.47154909464336,0,1,0.0
37,linear_distance,2.0,0.09,3011066200,7424,1144,5340,5340,1.0,1432.22250690837,1432.22250690837,1.0,5340,1.0,1432.22250690837,1.0,5340,1.0,1432.22250690837,1.0,22.84226275091322,22.84226275091322,357.4822608268034,357.4822608268034,1.0,0.999999999999999,1.0000000000000009,357.4822608268034,1.0,0.999999999999999,1.0000000000000009,357.4822608268034,1.0,0.999999999999999,1.0000000000000009,316.41951488701596,405.79629157275866,0,1,0.0
38,linear_distance,2.0,0.1,4101281670,7285,1144,5604,5601,1.0005356186395287,1984.195371384643,1979.3996688189065,1.0024228065919594,5603,1.0001784758165269,1983.8178261338549,1.0001903124600529,5602,1.00035701535166,1979.7763732393057,1.0022320693412998,34.522158525059055,34.41131235244878,457.0534385630524,456.16273151780405,1.0019637081999884,0.9999999999999991,1.006722795787953,457.0370441732806,1.0000363759087412,0.9999999999999991,1.0006365784029703,456.17906528211927,1.0019271988448346,0.9999999999999992,1.0055944351107193,405.9529459532302,510.32169060616,2,3,0.17035003431708992
39,linear_distance,2.0,0.12,4216611858,6805,1144,5715,5715,1.0,2942.7527288328756,2942.7527288328756,1.0,5715,1.0,2942.7527288328756,1.0,5715,1.0,2942.7527288328756,1.0,73.95805883358173,73.95805883358173,637.9836921317768,637.9836921317768,1.0000000000000002,0.9999999999999991,1.0000000000000009,637.9836921317768,1.0000000000000002,0.9999999999999991,1.0000000000000016,637.9836921317768,1.0000000000000002,0.9999999999999991,1.0000000000000016,565.7588442248315,696.5628538762612,0,1,0.0
40,linear_distance,2.0,0.15,3319947148,6173,1144,5672,5672,1.0,4232.084393946144,4232.084393946144,1.0,5672,1.0,4232.084393946144,1.0,5672,1.0,4232.084393946144,1.0,279.268657153955,279.268657153955,890.9229622420229,890.9229622420229,1.0,0.9999999999999991,1.0000000000000009,890.9229622420229,1.0,0.9999999999999991,1.0000000000000009,890.9229622420229,1.0,0.9999999999999991,1.0000000000000009,836.9241230118988,953.29206042427,0,1,0.0
