model_key,model_name,alpha,p_event,seed,endpoint_type,sample_size,unique_endpoints,shannon_entropy,effective_shannon_diversity,inverse_simpson_diversity,sample_size_standardized
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,2.0,0.05,3032681791,structural,7391,3607,4.983727918692555,146.01771043378528,4.450053142191429,False
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,2.0,0.05,3032681791,orf_copy_number,7391,1497,2.4090048836171705,11.12288706883525,1.803694975948864,False
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,2.0,0.07,1316201356,structural,6597,4044,6.014730059877028,409.41530638056935,8.057674223812754,False
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,2.0,0.07,1316201356,orf_copy_number,6597,1817,3.1619209722626627,23.61591790725677,2.2963342418155475,False
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,2.0,0.09,3674923251,structural,5881,4185,6.749321650286706,853.4796084661599,15.057264880984771,False
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,2.0,0.09,3674923251,orf_copy_number,5881,1974,3.76092502695355,42.9881728110173,2.888088390157498,False
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,2.0,0.1,1477168291,structural,5523,4213,7.088408484778075,1197.9996479110623,22.359569924946506,False
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,2.0,0.1,1477168291,orf_copy_number,5523,2027,4.074966326981457,58.84849894838736,3.314489543452008,False
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,2.0,0.12,2079310279,structural,4813,3927,7.325673278180571,1518.7961267959954,34.82820268793196,False
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,2.0,0.12,2079310279,orf_copy_number,4813,2081,4.586915253805441,98.19106798154236,4.256736595580079,False
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,2.0,0.15,1585545789,structural,4057,3596,7.666750644123997,2136.129112379793,90.9526648799492,False
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,2.0,0.15,1585545789,orf_copy_number,4057,2123,5.187425332431443,179.0070753995655,6.053119466300864,False
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,2.0,0.18,3604147398,structural,3407,3221,7.868606063889029,2613.9194108508086,356.9936644625557,False
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,2.0,0.18,3604147398,orf_copy_number,3407,2051,5.694543738823723,297.24114304885893,9.038050033130656,False
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,2.0,0.2,780218145,structural,3060,2937,7.842344437738157,2546.1671723366635,570.3947368421054,False
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,2.0,0.2,780218145,orf_copy_number,3060,2020,6.086901554008211,440.0558074610721,13.40798442064266,False
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,2.0,0.25,1592633087,structural,2262,2238,7.688429106003339,2182.942695808897,1787.7861635220129,False
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,2.0,0.25,1592633087,orf_copy_number,2262,1739,6.503869459639967,667.7203576661698,27.1175298382481,False
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,2.0,0.3,2700327069,structural,1707,1701,7.434513009236511,1693.432832005454,1666.0085763293307,False
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,2.0,0.3,2700327069,orf_copy_number,1707,1448,6.725050819649814,833.0143089662109,60.39691159705668,False
