model_key,alpha,p_event,seed,endpoint_type,original_survivor_depth,rarefied_survivor_depth,rarefaction_replicates,unique_endpoints_mean,unique_endpoints_ci_low,unique_endpoints_ci_high,shannon_entropy_mean,shannon_entropy_ci_low,shannon_entropy_ci_high,effective_shannon_diversity_mean,effective_shannon_diversity_ci_low,effective_shannon_diversity_ci_high,inverse_simpson_diversity_mean,inverse_simpson_diversity_ci_low,inverse_simpson_diversity_ci_high
linear_distance,2.0,0.3,3171143693,orf_copy_number,3710,1144,100,1034.33,1014.95,1049.525,6.652020864366696,6.568957315501115,6.711922344189418,774.9828273213285,712.6381549698136,822.158937739366,137.0815280990168,100.11949446476943,172.72446363256776
linear_distance,2.0,0.3,3171143693,structural,3710,1144,100,1140.98,1138.0,1144.0,7.037155563235204,7.0303793790696485,7.042286171939741,1138.1518626419572,1130.4594014800155,1143.999999999998,1129.9673531721407,1103.4873524451937,1143.9999999999998
partial_hic_fallback,0.5,0.03,1710054020,orf_copy_number,8084,1144,100,145.67,128.425,162.52499999999998,1.015982900297378,0.9031374197295249,1.1307274384338761,2.7672349718211273,2.4674135233269334,3.097927586100989,1.3139958977524446,1.2725566343425017,1.3583751665536798
partial_hic_fallback,0.5,0.03,1710054020,structural,8084,1144,100,368.68,341.425,391.04999999999995,2.532199726946373,2.3521111883133026,2.681336109301136,12.629275078429128,10.508011416317192,14.604917042717268,2.1780052471017592,2.03337896486326,2.306859103132642
partial_hic_fallback,0.5,0.05,2452768872,orf_copy_number,6981,1144,100,238.86,214.475,261.0,1.6663055219966663,1.4990240241647588,1.8250483223184706,5.311368945031828,4.477343355987813,6.203118911975754,1.6053891698025289,1.5208587580955417,1.691421662824655
partial_hic_fallback,0.5,0.05,2452768872,structural,6981,1144,100,554.9,522.8,580.0,3.7640251792028487,3.5541832914731577,3.925776278033958,43.29367006259165,34.96672994295041,50.69258493861385,3.790320687796757,3.3985454901388445,4.128974161875307
partial_hic_fallback,0.5,0.07,1291112168,orf_copy_number,6098,1144,100,321.88,292.0,345.525,2.242805903921157,2.0210554870103308,2.393612220227023,9.46308142911702,7.546402090805707,10.95300333737526,1.9589618632075905,1.8061995152401218,2.072231513504009
partial_hic_fallback,0.5,0.07,1291112168,structural,6098,1144,100,695.51,671.9,723.0999999999999,4.654695045306031,4.499896188862976,4.827838807336337,105.47925871372107,90.02163234425161,124.95007768446568,6.547184946411209,5.853739174473772,7.427709158429388
partial_hic_fallback,0.5,0.09,1982738802,orf_copy_number,5276,1144,100,414.71,389.9,436.0,2.8828306602176776,2.719791843367408,3.0327379920250133,17.940226017609056,15.177164865901439,20.754104933999947,2.517662491349671,2.349919558722132,2.683625241272983
partial_hic_fallback,0.5,0.09,1982738802,structural,5276,1144,100,823.11,792.475,844.525,5.429372402351472,5.249873446151919,5.5558900766750625,228.73100381864688,190.5433866601095,258.75736528246586,12.797155697554825,10.643028272267939,14.597647181546593
partial_hic_fallback,0.5,0.1,3581944228,orf_copy_number,4993,1144,100,454.98,427.475,482.04999999999995,3.144879770233096,2.963489852111159,3.322656896135252,23.329060824937102,19.36644052122737,27.734146821372246,2.818662371911332,2.600503307012247,3.0517817248808807
partial_hic_fallback,0.5,0.1,3581944228,structural,4993,1144,100,867.46,840.0,892.525,5.68960505179747,5.531753521145129,5.835029706057006,296.65411470725377,252.5864848292441,342.07628067337805,17.249584628531746,14.2175021377167,20.728323599065053
partial_hic_fallback,0.5,0.12,2199721088,orf_copy_number,4218,1144,100,519.24,498.475,541.525,3.570572810453032,3.4412648226886584,3.7187737424728877,35.658512059792294,31.228310170880277,41.214266427357096,3.4465987229858253,3.2255332187262273,3.7163008058952993
