model_key,model_name,alpha,p_event,seed,pearson_r,spearman_r,rmse,hotspot_auroc_top10_within_chromosome,hotspot_auprc_top10_within_chromosome,hotspot_positive_fraction,n_sites
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,0.5,0.12,2199721088,0.3807913919276143,0.12126418424540951,0.013894447645697647,0.5202342225113858,0.11958187376899349,0.10860655737704918,488
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,0.5,0.15,3528955751,0.41374035157956496,0.13645748801122035,0.013663601675261443,0.5300585556278464,0.14061658381466305,0.10860655737704918,488
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,0.5,0.18,4293388631,0.4092424316175419,0.11267058845722347,0.01369453337682272,0.4967902841032314,0.12351206956166329,0.10860655737704918,488
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,0.5,0.2,992375073,0.37923713723371555,0.11359438783395694,0.013898882070387275,0.5132726089785296,0.12125098427794512,0.10860655737704918,488
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,0.5,0.25,1877462373,0.39293335514424194,0.13435136678875365,0.01380512469900006,0.5191932335718933,0.12593284679527544,0.10860655737704918,488
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,0.5,0.3,1407851898,0.40655035471578255,0.13735822535728043,0.013713117228289164,0.5293428757319454,0.13118535723564492,0.10860655737704918,488
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,1.0,0.03,3083522482,0.3242652785265627,0.11856716686757983,0.01440176123370583,0.535003253090436,0.13588750323914586,0.10860655737704918,488
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,1.0,0.05,967491237,0.30531988489269285,0.10000428619445932,0.014468295807055062,0.5063109954456734,0.11287277225911985,0.10860655737704918,488
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,1.0,0.07,3160849969,0.38755680154106975,0.1258728146686542,0.013858079363449412,0.5571676425937975,0.1407729140290195,0.10860655737704918,488
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,1.0,0.09,2440376121,0.3648968950579469,0.11244144841496945,0.014015525384128528,0.5101713294296248,0.1205578152275416,0.10860655737704918,488
